config_hash,log_prime_sse,sse_null_phase_scramble,sse_null_target_shuffle,pcs,pli,ic,c4_contrast,ablated_c4_contrast,j_info_mean,grad_phase_var,max_amp_peak,clamp_fraction_mean,omega_sat_mean
09bae08a450ceb634a4d2c4ff17237f926c8def6a2ffdc4fdc483ff247f58d29,6.51489211101377,7.28261352363062,5.68727801368392,0.000562515866477042,1.0,1.0,4.45629314793993e+17,1.75921600636479e+15,26497520.0,174.781646728516,114.949798583984,1.0,0.0
6e162dbdcbbc9cc39d391dbd954a99f8ff1df518aa15bdd5b43da7425215c2b9,6.52107138574789,6.94329220811179,5.97841294704323,0.00127235043328255,1.0,1.0,4.46189946065172e+17,1.75921600636479e+15,26508220.0,174.159759521484,112.228668212891,1.0,0.0
353b7a8eb5c0c27f00b723cfd0c1af5cc6165f146e3f6a0ab2555aa0eeddb55a,6.52225021176476,5.6968086116687,6.07163748529929,0.0018565533682704,1.0,1.0,4.44601959917505e+17,1.75921600636479e+15,26441372.0,175.440948486328,115.452835083008,1.0,0.0
3552cdcba9a3c6179c9999f3760db0784c72b63b60a3d2e7134b6cb70c266ec5,6.52540941686488,7.00764051861441,5.70753342823531,0.00128165911883116,1.0,1.0,4.45586258025816e+17,1.75921600636479e+15,26482014.0,172.856399536133,114.629386901855,1.0,0.0
35d846570d2d4763847043dfae1c403ccbb2916848de8cda4ecabb139ead848f,6.52612547198902,6.20985831491918,6.7936999189406,0.00129641790408641,1.0,1.0,4.48935052828833e+17,1.75921600636479e+15,26531150.0,233.659622192383,9081.6923828125,0.999999165534973,0.0
c69d9edf755f8e77ec3d5dc8585079104160a9536e7d09d6adf1bc0ebf1f4985,6.5262423270541,7.96263396919135,5.58652417975887,0.00155229086522013,1.0,1.0,4.45073527770853e+17,1.75921600636479e+15,26463250.0,174.901062011719,114.938850402832,1.0,0.0
e6f446f70a4cb3e5ff353773a2fab5412eb678d57c287a34e0f25934a5d66917,6.52816628368445,7.17147099640758,6.88219118718709,0.000159423652803525,1.0,1.0,4.46540597697495e+17,1.75921600636479e+15,26524650.0,172.815231323242,112.139465332031,1.0,0.0
8ec535bcedf1d5439c3621951a18239b305119373b4a137315a294b12ed590e2,6.53058992590993,8.35332030883844,6.72628876140406,0.00140267284587026,1.0,1.0,4.46614289472202e+17,1.75921600636479e+15,26534018.0,172.419815063477,112.209205627441,1.0,0.0
7e72c1c7d3260f79b556f4bafff7dfb4c51be4987d2bfd9bf8a7ea1e5a5a54e0,6.53112332608443,7.75628660676212,5.52222121991284,0.0012252515880391,1.0,1.0,4.46153140760412e+17,1.75921600636479e+15,26517288.0,173.501251220703,113.86408996582,1.0,0.0
9577f48832323eb57eaef8845a6e6aedf5d40f51f1800616e575e4b055c72170,6.53869443383654,6.86701107597785,7.1289275049317,0.0017415639013052,1.0,1.0,4.44366757839723e+17,1.75921600636479e+15,26424830.0,177.412551879883,116.518562316895,1.0,0.0
