run_dir,idx,label,ic_seed,K,target_initial_mass,dx_weighted_target_mass,klass,n_mid,n_fin,late_slope,er_fin,er_max,core_fin,diagnostic_label,compactness_max,core_radius_min,high_k_fraction_max,selection_slug,selection_reason,param_D,param_eta,param_rho_vac,param_omega0,param_a_coupling,param_s,param_f,param_a
CORE_SAT_HUNT_20260624_094432,19,rand,20260619,3,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-3.26754999890616e-05,0.006380637693011291,0.9789327947441808,0.0,,,,,,,2.5465,0.1186,1.9421,0.7852,0.3442,-0.7727,-0.2728,0.2723
CORE_SAT_HUNT_20260624_094432,20,rand,20260619,3,500.0,4.521122685185186,LATE_BLOWUP_REJECT,0,0,nan,nan,nan,0.0,,,,,,,4.1698,0.1351,0.1088,0.1524,3.3319,-0.6765,-0.2401,0.4947
CORE_SAT_HUNT_20260624_094432,21,rand,20260619,3,500.0,4.521122685185186,LATE_BLOWUP_REJECT,0,0,nan,nan,nan,0.0,,,,,,,0.3185,0.1275,0.0949,1.7965,2.3725,0.7185,0.0354,0.3666
CORE_SAT_HUNT_20260624_094432,22,rand,20260619,3,500.0,4.521122685185186,TRANSIENT_GROWER_REJECT,2,2,0.00039507289221301614,2.5057463253920833,2.5057463253920833,0.7546683204461891,,,,,,,1.9358,-0.0095,0.4171,0.0618,1.3387,-0.0036,-0.4374,0.2803
CORE_SAT_HUNT_20260624_094432,23,rand,20260619,3,500.0,4.521122685185186,TRUE_SATURATED_BOUND_STATE,2,2,9.351890144156864e-05,1.5916459260648919,1.5916459260648919,0.6978722342464843,,,,,,,3.6315,0.0453,0.4399,0.1967,3.5886,0.4339,0.0903,0.4456
CORE_SAT_HUNT_20260624_094432,24,rand,20260619,4,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-0.00012863935760823163,0.19212505162420573,0.9865120253026253,0.0,,,,,,,4.5847,0.0357,0.476,1.5411,3.2902,-0.3276,0.2478,0.2151
CORE_SAT_HUNT_20260624_094432,25,rand,20260619,4,500.0,4.521122685185186,SPIN_DOWN_REJECT,3,3,-0.00010015667130863571,0.4417775058893839,0.9867108192056264,0.695937726412704,,,,,,,2.8861,0.0663,1.5523,0.6541,3.9815,-0.6166,0.1484,0.4728
CORE_SAT_HUNT_20260624_094432,26,rand,20260619,4,500.0,4.521122685185186,SPIN_DOWN_REJECT,2,3,-0.00012151696876669481,0.37561910949880445,0.9867034474960669,0.1950678862672247,,,,,,,2.8891,0.0405,1.2143,0.2693,1.9369,-0.7098,-0.3974,0.3209
CORE_SAT_HUNT_20260624_094432,27,rand,20260619,4,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-0.0001328104871032822,0.06552067501418872,0.9864974437120507,0.0,,,,,,,4.894,0.0854,1.4922,0.8073,2.5562,-0.6036,0.3037,0.4947
CORE_SAT_HUNT_20260624_094432,28,rand,20260619,4,500.0,4.521122685185186,LATE_BLOWUP_REJECT,0,0,0.004630336313795023,11.465219663742216,11.465219663742216,0.0,,,,,,,2.5129,0.143,1.2867,1.4353,2.7576,0.8063,-0.28,0.3954
CORE_SAT_HUNT_20260624_094432,29,rand,20260619,4,500.0,4.521122685185186,LATE_BLOWUP_REJECT,0,0,0.007333261276985827,20.50775929057814,20.50775929057814,0.0,,,,,,,3.2507,-0.0076,0.6972,1.5149,1.7809,0.4821,-0.1835,0.3436
CORE_SAT_HUNT_20260624_094432,30,rand,20260619,4,500.0,4.521122685185186,LATE_BLOWUP_REJECT,0,0,0.10366222826704938,245.7568372654176,245.7568372654176,0.0,,,,,,,3.5236,0.0316,1.5358,1.8442,2.3997,0.7859,-0.2009,0.435
CORE_SAT_HUNT_20260624_094432,31,rand,20260619,4,500.0,4.521122685185186,NEAR_SATURATED_BOUND_STATE,2,2,0.0002734923036743605,2.0820770155077475,2.0820770155077475,0.4401082784600942,,,,,,,0.1263,0.0089,0.5416,0.6704,3.6821,-0.975,-0.0481,0.4348
CORE_SAT_HUNT_20260624_094432,32,rand,20260619,6,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-0.00012097350917242777,0.09711467690096012,0.990523990339241,0.0,,,,,,,3.6201,0.0597,1.3871,0.9716,1.9495,-0.325,0.1255,0.3158
CORE_SAT_HUNT_20260624_094432,33,rand,20260619,6,500.0,4.521122685185186,NEAR_SATURATED_BOUND_STATE,5,5,0.00017548686091425534,1.5425276675450834,1.5425276675450834,0.5396519355072111,,,,,,,0.5405,0.025,1.8819,0.4033,3.1001,-0.5226,-0.423,0.4041
CORE_SAT_HUNT_20260624_094432,34,rand,20260619,6,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-7.704796257434424e-05,0.024789016204903366,0.9903103724784337,0.0,,,,,,,2.4793,0.0948,1.6947,1.5954,2.3827,-0.1985,-0.0183,0.4605
CORE_SAT_HUNT_20260624_094432,35,rand,20260619,6,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-4.940501026898153e-05,0.011672636965341232,0.9900929661973703,0.0,,,,,,,1.6429,0.1112,1.3843,1.3101,0.7999,0.8171,-0.2596,0.238
CORE_SAT_HUNT_20260624_094432,36,rand,20260619,6,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-4.2323723773215014e-05,0.008742894872265712,0.9899476150584892,0.0,,,,,,,0.8961,0.1222,1.7495,0.5101,3.7872,-0.824,0.0883,0.3133
CORE_SAT_HUNT_20260624_094432,37,rand,20260619,6,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-0.000135714107031745,0.18959609411191009,0.9906154476770348,0.0,,,,,,,1.4389,0.0583,0.2294,0.1067,1.8186,-0.5295,-0.4999,0.4318
CORE_SAT_HUNT_20260624_094432,38,rand,20260619,6,500.0,4.521122685185186,SPIN_DOWN_REJECT,0,0,-9.104241953543638e-05,0.07485523862422333,0.9902172421140196,0.0,,,,,,,1.4801,0.0528,0.2011,1.1763,0.158,-0.676,-0.1883,0.2053
