config_hash,log_prime_sse,fitness,generation,param_D,param_eta,param_rho_vac,param_a_coupling,sse_null_phase_scramble,sse_null_target_shuffle,n_peaks_found_main,failure_reason_main,n_peaks_found_null_a,failure_reason_null_a,n_peaks_found_null_b,failure_reason_null_b
fcedf7abda6f935f161be3d07ef6e892775285e3c70034a517acba1195cc3053,0.12946600465601565,206.99814217543613,16,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
e39ba00f34d0a607e88208edcb186c46dde7ed7c6c3949e53a10c2c98d617594,999.0,0.0,16,2.4789366777525603,0.8288285382900227,1.7495104449694265,0.10470750755467333,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
4fe853714967374b5a9aecb838e478f7f2117af69bf8ee93b07aab6695f92402,999.0,0.0,16,2.4789366777525603,0.22715997005968197,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
0472a3e1279e4e40e58c420f6873e53c5b5b8d7f1a25c3fd1f920ae958b9dcac,0.12946600465601565,206.99814217543613,16,2.4789366777525603,0.8288285382900227,1.7495104449694265,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
bf9d8a48968e5d19412853841584e902bac34dc335ba5723eb5820afbc3ff5ba,0.12946600465601565,207.19814217543612,16,1.0128501362314177,0.0723848783645568,1.7495104449694265,2.027626746016068,999.0,996.0,1,,0,No peaks found in spectrum,1,Null B failed to differentiate from main SSE
f8228ae2f8f815a784967a578c1ce1288e3ee2bbd25042b207ea5717b289431c,999.0,0.0,16,2.4789366777525603,0.8288285382900227,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
92151710a263c0aa401ebb61394936787b7d1611ebc18785154dbba25b577ebe,999.0,0.0,16,2.4789366777525603,0.359479254932448,1.188877556071933,2.027626746016068,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
0e33d06fc579b72ac3930f1e43f9de456f63796fc16d3f2aa3ae8a88e54a57b4,999.0,0.0,16,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
802802375fd39f4b6a4baf6af810ade7359bee1aec7c18917adcd614cbd2034e,0.12946600465601565,206.99814217543613,16,2.4789366777525603,0.05724313200384699,1.188877556071933,0.6458169654084843,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
930211be40032483ce79564ddc63edd166fdef05664d9b014791f2d9eee72549,999.0,0.0,16,0.684692005420893,0.359479254932448,1.7495104449694265,0.6399413956431478,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
2c262f9ef4f13d9c5a76d76aaaf9985f90253c18b41f3766b14490a896b8be9f,0.12946600465601565,206.99814217543613,17,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
b212a3ff2736301cfbbfcf5b522ab8ae99b5d8b23c049c3bed022a7252b8828e,999.0,0.0,17,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
843723e5cc96ce7250ba3655b1da215b29987e0a2e4e2fba9e8ad9bd72219698,999.0,0.0,17,1.6231089264596765,0.0723848783645568,1.7495104449694265,2.4829399613450147,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
b0d4e31e8de0a1d064b8c908a3f8d3a1507ebbb67d334f260ad7e3e82c286587,0.12946600465601565,206.99814217543613,17,2.4789366777525603,0.06923574217820357,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
3bbf1311e06cc34aac8b4e253d698380f9d3b53cff97c080378394253b3e5dad,0.12946600465601565,206.99814217543613,17,2.186805500756015,0.359479254932448,1.0297928118472892,0.6399413956431478,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
36241f37219ea987623883650ea68885a675d9525ff9f0b3bf2b6fc0abdcab0b,0.12946600465601565,207.19814217543612,17,2.4789366777525603,0.015492623966824642,0.7654444857172934,0.10470750755467333,999.0,996.0,1,,0,No peaks found in spectrum,1,Null B failed to differentiate from main SSE
db88906021f58ceaf4deeb8edfc145da4c9ab045fa372beffdfa20da921281ec,0.12946600465601565,206.99814217543613,17,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
db5cb9490646118d59dd588064ea91c489ff1bf6adc00ddb655b7b608ce4bab2,999.0,0.0,17,2.4789366777525603,0.17196265086081136,1.0297928118472892,0.10470750755467333,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
269c291a70cd4bc39bb076e40ae696b252941c434e4adcd723b9b0baa06f9600,0.12946600465601565,206.99814217543613,17,2.4789366777525603,0.0723848783645568,1.0297928118472892,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
4ae9f7d986dae4149a1b4a2990871bd397591fe90b5d784024bea8749a2ed9f8,999.0,0.0,17,2.4789366777525603,0.0723848783645568,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
8e7181f6f3634608c6312ae1b246592f3c5484f038f178a40a7f7b0655c5c453,0.12946600465601565,206.99814217543613,18,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
bbfd330f9a2ff7ba09a2fdf9173b78b0f3a536c3ba5ff796a77729a63c65b5e8,999.0,0.0,18,1.0128501362314177,0.8288285382900227,1.7495104449694265,2.027626746016068,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
3a4f585e897d7e930986588e0e7f6dc30afad7658298f1b9457d12dc1111794d,0.12946600465601565,206.99814217543613,18,2.4789366777525603,0.015492623966824642,1.188877556071933,0.6966878820920822,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
9a0cc69ea4f2c9ed9dfe7b7a67eed3d8db9d3ca5e312a769cac297d402ee2535,999.0,0.0,18,1.0128501362314177,0.0723848783645568,1.188877556071933,0.6399413956431478,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
91c9a28aeced08b38aca592bb96500bf2ca923165c8661ef4ed95c715c7973de,0.12946600465601565,206.99814217543613,18,1.0128501362314177,0.056179957756366354,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
1906c2f4e273f745354eff512e451b0f88445836d44ad4eb4b0f5da9ae6df7e7,999.0,0.0,18,1.0859901978944047,0.359479254932448,1.188877556071933,0.10470750755467333,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
3154be679b160369765480deddbedd15d7d7ac207292271e219244d9a403aa5a,0.12946600465601565,207.19814217543612,18,2.4789366777525603,0.0723848783645568,0.7654444857172934,0.6966878820920822,999.0,996.0,1,,0,No peaks found in spectrum,1,Null B failed to differentiate from main SSE
73f55032d2d073bf2954811ddce8b617add4379413a81007b5e12448e0e89472,999.0,0.0,18,2.4789366777525603,0.0723848783645568,0.7654444857172934,2.4829399613450147,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
d49a7853dacbfc851d7f70b5088e528b077204f7b3ae1af5cef39102cad6bc2b,0.12946600465601565,206.99814217543613,18,2.4789366777525603,0.0723848783645568,1.0297928118472892,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
a16f3e3426342972e9835495ec65df0e47640340afccb7bba40432fddcfddb2a,999.0,0.0,18,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
680aa5d91ced88d94c6565bc096cf49ff3700fb93f28c9adf41368186b99821c,0.12946600465601565,206.99814217543613,19,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
8d47d02fa2ab6a36faa9fd4cf2002ae72bbec66c37f9be4628eef35277c97d93,999.0,0.0,19,1.0128501362314177,0.22715997005968197,1.188877556071933,0.10470750755467333,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
fce83a7f3c3bd9e8d2395bb7e123b8a826f46f4d43582da6afc49a36fbd9de30,0.12946600465601565,206.99814217543613,19,2.4789366777525603,0.3515731709411066,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
77b4872db8a5496d933d80feaef782f2346bdda8f216d4b72112577cfcfa7c0e,999.0,0.0,19,1.0128501362314177,0.359479254932448,1.188877556071933,0.10470750755467333,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
747005c36fc167c6f614b6967baf48012f51a0819f78dca46155e62bddf26797,0.12946600465601565,206.99814217543613,19,2.4789366777525603,0.0723848783645568,1.1930277746940454,0.10099495505895877,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
380ab65c016f959b5cd4a35d598eaea9959ff9b9f0fdd4b2c2b701112526d61c,0.12946600465601565,206.99814217543613,19,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
fa7627ac1f82011d98c04a054cc5f466b26d8d4791972d27cb3a590add0d98fe,999.0,0.0,19,1.8701007237625307,0.22715997005968197,1.7495104449694265,0.10470750755467333,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
b389e8931f9ff82c9ab25526f442df944bb17c32261cd7c846f33037d30fd4a6,0.12946600465601565,207.19814217543612,19,1.0859901978944047,0.359479254932448,1.7495104449694265,2.027626746016068,999.0,996.0,1,,0,No peaks found in spectrum,1,Null B failed to differentiate from main SSE
9f692e53b2b7da76a19135759c2d5993e9196d5ff00814b011c220cbe06c3073,999.0,0.0,19,2.4789366777525603,0.015492623966824642,1.7495104449694265,0.6966878820920822,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
ca8db587ce7708f779335b43e9a7dbf8f902539460ee8e2b829b710eb73989a0,0.12946600465601565,206.99814217543613,19,2.4789366777525603,0.0723848783645568,1.7495104449694265,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
